review_status	expected_reading	item_id	surface	current_reading_hiragana	llm_reading	llm_raw_text	llm_parse_error	seed_source	feature_bucket	unit_id	token_surface	chunk_index	marked_text	note
		ja_cc_level2:0000000002:u0003:r0019c01	占	し	し	"{""占"":""し""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0003	占める	0	売り上げがないお店で使ったお金は、その店にとっての売り上げで**占**める割合が大きく、貴重なお金になるからだということでした。	
		ja_cc_level2:0000000002:u0016:r0026c01	帳	ちょう	ちょう	"{""帳"":""ちょう""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0016	帳	0	そう、あの時、どの本を買おうかを迷った時、棚のすみっこのほうにペン習字の練習**帳**があったのを思い出したからなのです。	
		ja_cc_level2:0000000002:u0007:r0009c01	文具店	ぶんぐてん	ぶんぐてん	"{""文具店"":""ぶんぐてん""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000002:u0007	文具店	0	さて、そのお店は、外見は**文具店**でしたが、入ってみると中は本屋さんでした。	
		ja_cc_level2:0000000001:u0009:r0019c01	売	う	う	"{""売"":""う""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000001:u0009	売る	0	いらない物を売りたいけど、店舗に持って行って査定してから**売**るか売らないかを決めるのって面倒くさいですよね。	
		ja_cc_level2:0000000001:u0008:r0028c01	日	ひ	ひ	"{""日"":""ひ""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000001:u0008	日	0	もしもこの記事に書いてある方法でいっときを乗り越えたとしても、のちのち辛い思いをして後悔する**日**がくる可能性が限りなく高いです。	
		ja_cc_level2:0000000003:u0004:r0009c01	長生	ちょうせい	ちょうせい	"{""長生"":""ちょうせい""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000003:u0004	長生	0	盛岡駅・青山駅・仙北駅の佐々木**長生**院・整骨院では、原因をしっかりと見極めた上で、適切な対処をしていきます。	
		ja_cc_level2:0000000001:u0005:r0007c01	増	ふ	ふ	"{""増"":""ふ""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000001:u0005	増え	0	この数字はオリンピック後も**増**え続けることが予想されています。	
		ja_cc_level2:0000000004:u0007:r0010c01	本	ほん	ほん	"{""本"":""ほん""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000004:u0007	本	0	もし近々渡航予定のある方は是非**本**企画にご参加いただけますとうれしいです。	
		ja_cc_level2:0000000004:u0009:r0040c01	赤道	せきどう	せきどう	"{""赤道"":""せきどう""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000004:u0009	赤道	0	残り28カ国：アルジェリア、アンゴラ、エリトリア、カーボベルデ、ガボン、カメルーン、ガンビア、ギニア、ギニアビサウ、コモロ、コンゴ共和国、コンゴ民主共和国、サントメ・プリンシペ、スーダン、スワジランド、**赤道**ギニア、ソマリア、チャド、中央アフリカ、チュニジア、ニジェール、ブルンジ、マラウイ、南スーダン、モーリタニア、モザンビーク、リビア、リベリア	
		ja_cc_level2:0000000002:u0003:r0006c01	使	つか	つか	"{""使"":""つか""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0003	使っ	0	売り上げがないお店で**使**ったお金は、その店にとっての売り上げで占める割合が大きく、貴重なお金になるからだということでした。	
		ja_cc_level2:0000000002:u0022:r0011c01	帳	ちょう	ちょう	"{""帳"":""ちょう""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0022	帳	0	なんとそこには、ちゃんとペン字練習**帳**が鎮座しておりました。	
		ja_cc_level2:0000000002:u0008:r0010c01	並	なら	なら	"{""並"":""なら""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0008	並ん	0	棚には古めの本がずらりと**並**んでいました。	
		ja_cc_level2:0000000004:u0007:r0007c01	方	かた	かた	"{""方"":""かた""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000004:u0007	方	0	もし近々渡航予定のある**方**は是非本企画にご参加いただけますとうれしいです。	
		ja_cc_level2:0000000005:u0005:r0026c01	受	う	う	"{""受"":""う""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000005:u0005	受け付け	0	※18：00〜8：00はFX取引・CFD取引および口座開設に関するお問い合わせのみ**受**け付けております。	
		ja_cc_level2:0000000002:u0024:r0010c01	帳	ちょう	ちょう	"{""帳"":""ちょう""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0024	帳	0	家に帰ってから、ペン習字練習**帳**をよく見てみると、買ってきたのは『基礎編』でした。	
		ja_cc_level2:0000000002:u0003:r0008c01	金	かね	かね	"{""金"":""かね""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0003	お金	0	売り上げがないお店で使ったお**金**は、その店にとっての売り上げで占める割合が大きく、貴重なお金になるからだということでした。	
		ja_cc_level2:0000000002:u0006:r0010c01	日	ひ	ひ	"{""日"":""ひ""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0006	日	0	そこでワタクシは、超運がいい**日**に、その昭和レトロのお店に行ったのでした。	
		ja_cc_level2:0000000002:u0017:r0036c01	張	は	は	"{""張"":""は""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0017	張り紙	0	そうして、意気揚々と向かってみると、おばあさんが店番をやっていた昭和レトロのお店のシャッターには、・・・の**張**り紙があったのでした。	
		ja_cc_level2:0000000004:u0008:r0003c01	力	ちから	ちから	"{""力"":""ちから""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000004:u0008	力	0	みんなで**力**を合わせて全世界制覇しましょう！	
		ja_cc_level2:0000000002:u0005:r0015c01	少	すく	すく	"{""少"":""すく""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0005	少ない	0	もし同じようなモノを買うのなら、なるべくお客さんんが**少**ないお店で買おうと思いました。	
		ja_cc_level2:0000000004:u0001:r0016c01	型	がた	がた	"{""型"":""がた""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000004:u0001	型	0	と思い、2017年7月に立ち上げた、参加**型**企画『力を合わせて全世界制覇』。	
		ja_cc_level2:0000000002:u0010:r0001c01	買	か	か	"{""買"":""か""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0010	買い	0	**買**いたい本がありませんでした。	
		ja_cc_level2:0000000003:u0004:r0023c01	上	うえ	うえ	"{""上"":""うえ""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000003:u0004	上	0	盛岡駅・青山駅・仙北駅の佐々木長生院・整骨院では、原因をしっかりと見極めた**上**で、適切な対処をしていきます。	
		ja_cc_level2:0000000001:u0010:r0018c01	買	か	か	"{""買"":""か""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000001:u0010	買い取っ	0	この記事では自宅にいながら査定ができて、納得したらそのまま**買**い取ってくれるサービスを種類別にご紹介しています。	
		ja_cc_level2:0000000002:u0024:r0001c01	家	いえ	いえ	"{""家"":""いえ""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0024	家	0	**家**に帰ってから、ペン習字練習帳をよく見てみると、買ってきたのは『基礎編』でした。	
		ja_cc_level2:0000000003:u0002:r0021c01	違	ちが	ちが	"{""違"":""ちが""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000003:u0002	違っ	0	スポーツによって発生しやすい外傷や障害は異なっていて、それぞれに症状も**違**っています。	
		ja_cc_level2:0000000002:u0007:r0018c01	中	なか	なか	"{""中"":""なか""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0007	中	0	さて、そのお店は、外見は文具店でしたが、入ってみると**中**は本屋さんでした。	
		ja_cc_level2:0000000001:u0008:r0021c01	辛	つら	つら	"{""辛"":""つら""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000001:u0008	辛い	0	もしもこの記事に書いてある方法でいっときを乗り越えたとしても、のちのち**辛**い思いをして後悔する日がくる可能性が限りなく高いです。	
		ja_cc_level2:0000000002:u0008:r0001c01	棚	たな	たな	"{""棚"":""たな""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0008	棚	0	**棚**には古めの本がずらりと並んでいました。	
		ja_cc_level2:0000000004:u0001:r0012c01	立	た	た	"{""立"":""た""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000004:u0001	立ち上げ	0	と思い、2017年7月に**立**ち上げた、参加型企画『力を合わせて全世界制覇』。	
		ja_cc_level2:0000000004:u0001:r0019c01	力	ちから	ちから	"{""力"":""ちから""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000004:u0001	力	0	と思い、2017年7月に立ち上げた、参加型企画『**力**を合わせて全世界制覇』。	
		ja_cc_level2:0000000002:u0002:r0001c01	模	も	も	"{""模"":""も""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0002	模し	0	**模**したのではなく、昭和のお店がそのまま残っている感じです。	
		ja_cc_level2:0000000005:u0006:r0002c01	際	さい	さい	"{""際"":""さい""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000005:u0006	際	0	その**際**、サービス番号選択のアナウンスは流れず、サポートスタッフに直接お繋ぎいたします。	
		ja_cc_level2:0000000001:u0012:r0007c01	持	も	も	"{""持"":""も""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000001:u0012	持っ	0	リサイクルショップやブックオフに**持**って行ったり、いっそのこと捨ててしまったりですよね。	
		ja_cc_level2:0000000002:u0014:r0013c01	本	ほん	ほん	"{""本"":""ほん""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0014	本	0	さんざん迷ったあげく、ワタクシは１冊の開運の**本**を手に、そのお店を出たのでした。	
		ja_cc_level2:0000000002:u0002:r0010c01	店	みせ	みせ	"{""店"":""みせ""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0002	お店	0	模したのではなく、昭和のお**店**がそのまま残っている感じです。	
		ja_cc_level2:0000000001:u0009:r0003c01	物	もの	もの	"{""物"":""もの""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000001:u0009	物	0	いらない**物**を売りたいけど、店舗に持って行って査定してから売るか売らないかを決めるのって面倒くさいですよね。	
		ja_cc_level2:0000000002:u0005:r0018c01	買	か	か	"{""買"":""か""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0005	買おう	0	もし同じようなモノを買うのなら、なるべくお客さんんが少ないお店で**買**おうと思いました。	
		ja_cc_level2:0000000005:u0001:r0004c01	様	さま	さま	"{""様"":""さま""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000005:u0001	様	0	※ご本人**様**確認が出来ないと、ご案内出来ない場合がありますのでご注意ください。	
		ja_cc_level2:0000000001:u0009:r0021c01	売	う	う	"{""売"":""う""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000001:u0009	売ら	0	いらない物を売りたいけど、店舗に持って行って査定してから売るか**売**らないかを決めるのって面倒くさいですよね。	
		ja_cc_level2:0000000004:u0001:r0010c01	月	がつ	がつ	"{""月"":""がつ""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000004:u0001	月	0	と思い、2017年7**月**に立ち上げた、参加型企画『力を合わせて全世界制覇』。	
		ja_cc_level2:0000000001:u0008:r0022c01	思	おも	おも	"{""思"":""おも""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000001:u0008	思い	0	もしもこの記事に書いてある方法でいっときを乗り越えたとしても、のちのち辛い**思**いをして後悔する日がくる可能性が限りなく高いです。	
		ja_cc_level2:0000000002:u0010:r0003c01	本	ほん	ほん	"{""本"":""ほん""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0010	本	0	買いたい**本**がありませんでした。	
		ja_cc_level2:0000000002:u0005:r0007c01	買	か	か	"{""買"":""か""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0005	買う	0	もし同じようなモノを**買**うのなら、なるべくお客さんんが少ないお店で買おうと思いました。	
		ja_cc_level2:0000000002:u0016:r0016c01	棚	たな	たな	"{""棚"":""たな""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0016	棚	0	そう、あの時、どの本を買おうかを迷った時、**棚**のすみっこのほうにペン習字の練習帳があったのを思い出したからなのです。	
		ja_cc_level2:0000000002:u0024:r0018c01	買	か	か	"{""買"":""か""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0024	買っ	0	家に帰ってから、ペン習字練習帳をよく見てみると、**買**ってきたのは『基礎編』でした。	
		ja_cc_level2:0000000004:u0001:r0008c01	年	ねん	ねん	"{""年"":""ねん""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000004:u0001	年	0	と思い、2017**年**7月に立ち上げた、参加型企画『力を合わせて全世界制覇』。	
		ja_cc_level2:0000000001:u0008:r0006c01	書	か	か	"{""書"":""か""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000001:u0008	書い	0	もしもこの記事に**書**いてある方法でいっときを乗り越えたとしても、のちのち辛い思いをして後悔する日がくる可能性が限りなく高いです。	
		ja_cc_level2:0000000002:u0016:r0014c01	時	とき	とき	"{""時"":""とき""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0016	時	0	そう、あの時、どの本を買おうかを迷った**時**、棚のすみっこのほうにペン習字の練習帳があったのを思い出したからなのです。	
		ja_cc_level2:0000000004:u0002:r0024c01	目指	めざ	めざ	"{""目指"":""めざ""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000004:u0002	目指し	0	参加メンバーがリーマントラベラーTシャツを着て海外に渡航し、国連加盟国193カ国全制覇を**目指**しています。	
		ja_cc_level2:0000000004:u0002:r0008c01	着	き	き	"{""着"":""き""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000004:u0002	着	0	参加メンバーがリーマントラベラーTシャツを**着**て海外に渡航し、国連加盟国193カ国全制覇を目指しています。	
		ja_cc_level2:0000000002:u0014:r0002c01	迷	まよ	まよ	"{""迷"":""まよ""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0014	迷っ	0	さんざん**迷**ったあげく、ワタクシは１冊の開運の本を手に、そのお店を出たのでした。	
		ja_cc_level2:0000000002:u0012:r0004c01	歳	さい	さい	"{""歳"":""さい""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0012	歳	0	たぶん８０**歳**くらいでしょうか。	
		ja_cc_level2:0000000002:u0003:r0004c01	店	みせ	みせ	"{""店"":""みせ""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0003	お店	0	売り上げがないお**店**で使ったお金は、その店にとっての売り上げで占める割合が大きく、貴重なお金になるからだということでした。	
		ja_cc_level2:0000000002:u0020:r0018c01	帳	ちょう	ちょう	"{""帳"":""ちょう""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0020	帳	0	ほっとはしたものの、散歩ともう一つの目的の『ペン習字の練習**帳**』が手に入らず、なんとなくスッキリとしません。	
		ja_cc_level2:0000000004:u0001:r0021c01	合	あ	あ	"{""合"":""あ""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000004:u0001	合わせ	0	と思い、2017年7月に立ち上げた、参加型企画『力を**合**わせて全世界制覇』。	
